id;label;class_object;class_name;class_value
1;PROVINCE NORD;forest_fragmentation;900;0.20894766952724284337
1;PROVINCE NORD;forest_fragmentation;93000;1.00000000000000310837
1;PROVINCE NORD;forest_holdridge1_ha;;20940.7759108866
1;PROVINCE NORD;forest_holdridge2_ha;;210377.988108598
1;PROVINCE NORD;forest_holdridge3_ha;;90393.0018083831
1;PROVINCE NORD;forest_mature_elevation;100;5320.040911550687710738640774118
1;PROVINCE NORD;forest_mature_elevation;1000;3413.00656208067506915410112636
1;PROVINCE NORD;forest_mature_elevation;1100;2397.4401403635746966323396013
1;PROVINCE NORD;forest_mature_elevation;1200;1713.383067988522122614566270090
1;PROVINCE NORD;forest_mature_elevation;1300;1184.170659195825989530784440902
1;PROVINCE NORD;forest_mature_elevation;1400;597.047334655082496057626802196
